Date,Open,High,Low,Close,Volume,Adj Close
10/1/74,31.24992,38.875198,30.50016,38.25024,4394200,0.207172
9/3/74,37.874878,38.625122,30,31.24992,3866800,0.169257
8/1/74,42.99984,47.00016,35.00016,37.874878,2715700,0.202596
7/1/74,49.249916,49.750084,42.875042,42.99984,3005200,0.23001
6/3/74,48.250084,51,47.625122,49.249916,2709800,0.263442
5/1/74,51.124798,54,46.75008,48.250084,3580800,0.255955
4/1/74,54.250084,56.00016,50.25024,51,2510600,0.270543
3/1/74,56.625122,57.124798,50.749916,54.250084,4901900,0.287784
2/1/74,59.875202,59.875202,53.49984,56.625122,3046400,0.300383
1/2/74,62.749916,65.00016,59.00016,59.875202,3034400,0.315425
12/3/73,63.124798,63.250084,57,63,3802300,0.331886
11/1/73,65.375038,68.00016,60.624962,63.124798,3405000,0.332544
10/1/73,62.875202,68.625122,61.874878,65.375038,3335700,0.342238
9/4/73,59.25024,65.625122,56.124962,63,4786600,0.329805
8/1/73,62.749916,63,57.50016,59.124962,3790100,0.309519
7/2/73,57.374878,64.874878,55.750084,62.749916,3927500,0.326324
6/1/73,59.00016,61.750084,55.5,57.374878,2925400,0.298372
